DATAFLOW,MEASURE: Measure,REGION_TYPE: Geography Level,ASGS_2016: Region,FREQ: Frequency,TIME_PERIOD: Time Period,OBS_VALUE,UNIT_MEASURE: Unit of Measure
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,101021007: Braidwood,A: Annual,2020,4291,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,101021008: Karabar,A: Annual,2020,8371,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,101021009: Queanbeyan,A: Annual,2020,11450,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,101021010: Queanbeyan - East,A: Annual,2020,5083,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,101021011: Queanbeyan Region,A: Annual,2020,21496,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,101021012: Queanbeyan West - Jerrabomberra,A: Annual,2020,13080,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,101031013: Bombala,A: Annual,2020,2421,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,101031014: Cooma,A: Annual,2020,6807,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,101031015: Cooma Region,A: Annual,2020,3459,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,101031016: Jindabyne - Berridale,A: Annual,2020,7343,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,101041017: Batemans Bay,A: Annual,2020,8173,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,101041018: Batemans Bay - South,A: Annual,2020,8581,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,101041019: Bega - Tathra,A: Annual,2020,8796,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,101041020: Bega-Eden Hinterland,A: Annual,2020,8879,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,101041021: Broulee - Tomakin,A: Annual,2020,3661,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,101041022: Deua - Wadbilliga,A: Annual,2020,25,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,101041023: Eden,A: Annual,2020,3265,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,101041024: Eurobodalla Hinterland,A: Annual,2020,3494,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,101041025: Merimbula - Tura Beach,A: Annual,2020,11434,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,101041026: Moruya - Tuross Head,A: Annual,2020,8313,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,101041027: Narooma - Bermagui,A: Annual,2020,9241,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,101051539: Goulburn,A: Annual,2020,24382,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,101051540: Goulburn Region,A: Annual,2020,13530,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,101061541: Yass,A: Annual,2020,6713,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,101061542: Yass Region,A: Annual,2020,12547,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,101061543: Young,A: Annual,2020,10712,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,101061544: Young Region,A: Annual,2020,7252,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,102011028: Avoca Beach - Copacabana,A: Annual,2020,7778,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,102011029: Box Head - MacMasters Beach,A: Annual,2020,11141,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,102011030: Calga - Kulnura,A: Annual,2020,4995,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,102011031: Erina - Green Point,A: Annual,2020,14338,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,102011032: Gosford - Springfield,A: Annual,2020,20279,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,102011033: Kariong,A: Annual,2020,6588,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,102011034: Kincumber - Picketts Valley,A: Annual,2020,7532,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,102011035: Narara,A: Annual,2020,6961,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,102011036: Niagara Park - Lisarow,A: Annual,2020,8085,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,102011037: Point Clare - Koolewong,A: Annual,2020,6319,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,102011038: Saratoga - Davistown,A: Annual,2020,7360,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,102011039: Terrigal - North Avoca,A: Annual,2020,14784,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,102011040: Umina - Booker Bay - Patonga,A: Annual,2020,25124,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,102011041: Wamberal - Forresters Beach,A: Annual,2020,10512,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,102011042: Woy Woy - Blackwall,A: Annual,2020,14555,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,102011043: Wyoming,A: Annual,2020,11829,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,102021044: Bateau Bay - Killarney Vale,A: Annual,2020,22656,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,102021045: Blue Haven - San Remo,A: Annual,2020,11319,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,102021046: Budgewoi - Buff Point - Halekulani,A: Annual,2020,9843,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,102021047: Chittaway Bay - Tumbi Umbi,A: Annual,2020,15739,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,102021048: Gorokan - Kanwal - Charmhaven,A: Annual,2020,22796,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,102021049: Jilliby - Yarramalong,A: Annual,2020,3578,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,102021050: Lake Munmorah - Mannering Park,A: Annual,2020,11291,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,102021051: Ourimbah - Fountaindale,A: Annual,2020,4977,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,102021052: Summerland Point - Gwandalan,A: Annual,2020,6191,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,102021053: The Entrance,A: Annual,2020,15925,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,102021054: Toukley - Norah Head,A: Annual,2020,10341,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,102021055: Tuggerah - Kangy Angy,A: Annual,2020,5478,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,102021056: Warnervale - Wadalba,A: Annual,2020,18257,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,102021057: Wyong,A: Annual,2020,9286,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,103011058: Bathurst,A: Annual,2020,24953,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,103011059: Bathurst - East,A: Annual,2020,12592,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,103011060: Bathurst Region,A: Annual,2020,7102,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,103011061: Oberon,A: Annual,2020,4723,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,103021062: Condobolin,A: Annual,2020,6455,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,103021063: Cowra,A: Annual,2020,9280,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,103021064: Cowra Region,A: Annual,2020,5582,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,103021065: Forbes,A: Annual,2020,10506,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,103021066: Grenfell,A: Annual,2020,3588,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,103021067: Parkes (NSW),A: Annual,2020,11164,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,103021068: Parkes Region,A: Annual,2020,3346,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,103021069: West Wyalong,A: Annual,2020,5923,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,103031070: Lithgow,A: Annual,2020,12840,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,103031071: Lithgow Region,A: Annual,2020,8580,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,103031072: Mudgee,A: Annual,2020,12649,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,103031073: Mudgee Region - East,A: Annual,2020,3454,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,103031074: Mudgee Region - West,A: Annual,2020,10625,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,103031075: Wollangambe - Wollemi,A: Annual,2020,0,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,103041076: Blayney,A: Annual,2020,7384,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,103041077: Orange,A: Annual,2020,18694,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,103041078: Orange - North,A: Annual,2020,22194,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,103041079: Orange Region,A: Annual,2020,12080,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,104011080: Grafton,A: Annual,2020,19019,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,104011081: Grafton Region,A: Annual,2020,15649,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,104011082: Maclean - Yamba - Iluka,A: Annual,2020,16759,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,104021083: Bellingen,A: Annual,2020,6176,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,104021084: Coffs Harbour - North,A: Annual,2020,18655,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,104021085: Coffs Harbour - South,A: Annual,2020,10562,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,104021086: Coramba - Nana Glen - Bucca,A: Annual,2020,4000,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,104021087: Dorrigo,A: Annual,2020,3127,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,104021088: Korora - Emerald Beach,A: Annual,2020,10152,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,104021089: Sawtell - Boambee,A: Annual,2020,20035,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,104021090: Urunga,A: Annual,2020,4822,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,104021091: Woolgoolga - Arrawarra,A: Annual,2020,13614,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,105011092: Bourke - Brewarrina,A: Annual,2020,3968,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,105011093: Cobar,A: Annual,2020,4520,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,105011094: Coonamble,A: Annual,2020,4069,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,105011095: Nyngan - Warren,A: Annual,2020,4778,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,105011096: Walgett - Lightning Ridge,A: Annual,2020,6145,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,105021097: Broken Hill,A: Annual,2020,17269,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,105021098: Far West,A: Annual,2020,2387,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,105031099: Coonabarabran,A: Annual,2020,7850,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,105031100: Dubbo - East,A: Annual,2020,10402,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,105031101: Dubbo - South,A: Annual,2020,18642,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,105031102: Dubbo - West,A: Annual,2020,10010,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,105031103: Dubbo Region,A: Annual,2020,6064,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,105031104: Gilgandra,A: Annual,2020,4390,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,105031105: Narromine,A: Annual,2020,6533,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,105031106: Wellington,A: Annual,2020,9413,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,106011107: Branxton - Greta - Pokolbin,A: Annual,2020,11497,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,106011108: Cessnock,A: Annual,2020,23875,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,106011109: Cessnock Region,A: Annual,2020,8833,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,106011110: Dungog,A: Annual,2020,9664,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,106011111: Kurri Kurri - Abermain,A: Annual,2020,19542,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,106011112: Singleton,A: Annual,2020,16101,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,106011113: Singleton Region,A: Annual,2020,5222,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,106021114: Maitland,A: Annual,2020,8100,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,106021115: Maitland - East,A: Annual,2020,29127,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,106021116: Maitland - North,A: Annual,2020,8503,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,106021117: Maitland - West,A: Annual,2020,25251,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,106021118: Thornton - Millers Forest,A: Annual,2020,13256,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,106031119: Anna Bay,A: Annual,2020,5973,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,106031120: Lemon Tree Passage - Tanilba Bay,A: Annual,2020,6936,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,106031121: Nelson Bay Peninsula,A: Annual,2020,22517,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,106031122: Raymond Terrace,A: Annual,2020,13995,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,106031123: Seaham - Woodville,A: Annual,2020,5603,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,106031124: Tea Gardens - Hawks Nest,A: Annual,2020,5454,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,106031125: Williamtown - Medowie - Karuah,A: Annual,2020,15155,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,106041126: Muswellbrook,A: Annual,2020,12364,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,106041127: Muswellbrook Region,A: Annual,2020,3991,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,106041128: Scone,A: Annual,2020,5755,PSNS: Persons
ABS:ABS_ANNUAL_ERP_ASGS2016(1.0.0),ERP: Estimated Resident Population,SA2: Statistical Area Level 2,106041129: Scone Region,A: Annual,2020,8427,PSNS: Persons
