suburb,year,address,bedrooms,contract date,price,block size,source,purpose
Acton,2019,28/1 Gordon Street *,2,11/07/2019,"$630,000",0m2,Allhomes Record,–
Acton,2020,1204/19 Marcus Clarke Street *,2,30/06/2020,"$880,000",0m2,Allhomes Record,–
Acton,2020,G04/19 Marcus Clarke Street *,1,02/12/2020,"$557,000",0m2,Allhomes Record,–
Acton,2021,1311/25 Edinburgh Avenue *,3,08/05/2021,"$1,240,000",0m2,Allhomes Record,–
Acton,2021,906/19 Marcus Clarke Street *,2,14/04/2021,"$795,000",0m2,Allhomes Record,–
Ainslie,2019,21 Cox Street,–,29/11/2019,"$1,840,000",809m2,Government Record,Single residential dwelling...
Ainslie,2019,8 Suttor Street,5,21/09/2019,"$1,690,000",873m2,Combined Record,Single residential dwelling
Ainslie,2019,17 Higgins Crescent,4,01/03/2019,"$1,630,000",995m2,Combined Record,Single residential dwelling
Ainslie,2019,10 Angas Street *,4,23/11/2019,"$1,420,000",0m2,Allhomes Record,–
Ainslie,2019,54 Campbell Street,4,26/09/2019,"$1,415,000",936m2,Combined Record,Single residential dwelling
Ainslie,2019,93 Duffy Street,–,08/10/2019,"$1,400,000",855m2,Government Record,Single residential dwelling
Ainslie,2019,115 Hannan Crescent *,5,26/10/2019,"$1,400,000",0m2,Allhomes Record,–
Ainslie,2019,226 Duffy Street,–,20/08/2019,"$1,350,000",1238m2,Government Record,Single residential dwelling
Ainslie,2019,16 O'Connell Street,–,21/01/2019,"$1,300,000",1017m2,Government Record,Single residential dwelling
Ainslie,2019,15 Canning Street,4,02/11/2019,"$1,290,000",745m2,Combined Record,Single residential dwelling
Ainslie,2019,23 Fairbridge Crescent,5,03/04/2019,"$1,250,000",738m2,Combined Record,Single residential dwelling...
Ainslie,2019,270 Duffy Street,3,29/11/2019,"$1,225,000",1136m2,Combined Record,Single residential dwelling
Ainslie,2019,25 Agnew Street,4,04/04/2019,"$1,200,000",764m2,Combined Record,Single residential dwelling
Ainslie,2019,37 Foveaux Street,3,28/08/2019,"$1,120,000",1017m2,Combined Record,Single residential dwelling...
Ainslie,2019,8 Tyson Street,3,14/09/2019,"$1,112,500",777m2,Combined Record,Single residential dwelling
Ainslie,2019,48 Duffy Street,2,17/01/2019,"$1,100,000",809m2,Combined Record,Single residential dwelling
Ainslie,2019,83 Wakefield Gardens,–,08/10/2019,"$1,100,000",767m2,Government Record,Single residential dwelling
Ainslie,2019,18 Suttor Street,3,12/02/2019,"$1,090,000",765m2,Combined Record,Single residential dwelling
Ainslie,2019,45 Cowper Street,3,23/02/2019,"$1,075,000",1134m2,Combined Record,Single residential dwelling
Ainslie,2019,128 Duffy Street,4,29/03/2019,"$1,070,000",938m2,Combined Record,Single residential dwelling
Ainslie,2019,16 Angas Street,3,27/11/2019,"$1,035,000",1143m2,Combined Record,Single residential dwelling
Ainslie,2019,60 Duffy Street,3,26/04/2019,"$1,035,000",696m2,Combined Record,Single residential dwelling
Ainslie,2019,2/71 Paterson Street,3,14/12/2019,"$1,030,000",940m2,Combined Record,Multiple unit dwelling
Ainslie,2019,15 Hannan Crescent,–,13/11/2019,"$1,025,000",807m2,Government Record,Single residential dwelling
Ainslie,2019,1/3 Stephen Street,–,16/11/2019,"$1,022,000",1307m2,Government Record,Multiple unit dwelling
Ainslie,2019,3A Stephen Street *,3,16/11/2019,"$1,022,000",588m2,Allhomes Record,–
Ainslie,2019,1/16B Calvert Street,–,09/08/2019,"$1,000,000",1323m2,Government Record,Multiple unit dwelling
Ainslie,2019,127 Duffy Street *,3,18/12/2019,"$990,000",0m2,Allhomes Record,–
Ainslie,2019,45 Ebden Street *,3,01/05/2019,"$990,000",1048m2,Allhomes Record,–
Ainslie,2019,122 Duffy Street,–,16/12/2019,"$980,000",776m2,Government Record,Single residential dwelling
Ainslie,2019,1/6 Hobson Place,3,22/02/2019,"$975,000",1090m2,Combined Record,Multiple unit dwelling
Ainslie,2019,35 Tyson Street,3,05/11/2019,"$945,000",849m2,Combined Record,Single residential dwelling
Ainslie,2019,93 Sherbrooke Street,3,24/08/2019,"$930,000",762m2,Combined Record,Single residential dwelling
Ainslie,2019,77 Ebden Street,2,14/01/2019,"$915,000",836m2,Combined Record,Single residential dwelling
Ainslie,2019,62 Sherbrooke Street *,3,17/12/2019,"$910,000",0m2,Allhomes Record,–
Ainslie,2019,103 Duffy Street,3,11/10/2019,"$900,000",671m2,Combined Record,Single residential dwelling...
Ainslie,2019,3 Piper Street,–,23/05/2019,"$900,000",661m2,Government Record,Single residential dwelling...
Ainslie,2019,45 Ebden Street,–,29/04/2019,"$900,000",1048m2,Government Record,Single residential dwelling...
Ainslie,2019,156 Majura Avenue,3,29/10/2019,"$895,000",664m2,Combined Record,Single residential dwelling
Ainslie,2019,91A Officer Crescent *,3,09/11/2019,"$885,000",425m2,Allhomes Record,–
Ainslie,2019,1/91 Officer Crescent,–,09/11/2019,"$885,000",817m2,Government Record,Multiple unit dwelling
Ainslie,2019,1 Agnew Street,3,18/06/2019,"$882,000",762m2,Combined Record,Single residential dwelling
Ainslie,2019,1 Shortland Crescent,–,25/10/2019,"$880,000",842m2,Government Record,Single residential dwelling
Ainslie,2019,148 Majura Avenue,3,08/01/2019,"$860,000",723m2,Combined Record,Single residential dwelling
Ainslie,2019,35 Fairbridge Crescent,3,08/07/2019,"$860,000",747m2,Combined Record,Single residential dwelling
Ainslie,2019,11 Shortland Crescent,3,23/02/2019,"$845,000",721m2,Combined Record,Single residential dwelling
Ainslie,2019,22B Hawdon Street *,3,09/04/2019,"$825,000",431m2,Allhomes Record,–
Ainslie,2019,2/22A Hawdon Street,–,09/04/2019,"$825,000",915m2,Government Record,Multiple unit dwelling
Ainslie,2019,35 Hannan Crescent,0,25/09/2019,"$822,350",711m2,Combined Record,Single residential dwelling
Ainslie,2019,42 Raymond Street,3,15/07/2019,"$815,000",728m2,Combined Record,Single residential dwelling
Ainslie,2019,9/17 Edgar Street,–,17/10/2019,"$812,000",1208m2,Government Record,Multiple unit dwelling
Ainslie,2019,9/95A Wakefield Gardens *,3,17/10/2019,"$812,000",0m2,Allhomes Record,–
Ainslie,2019,69 Hannan Crescent,3,18/09/2019,"$805,000",664m2,Combined Record,Single residential dwelling
Ainslie,2019,33 Sherbrooke Street,3,28/05/2019,"$797,000",659m2,Combined Record,Single residential dwelling...
Ainslie,2019,9 Officer Crescent,3,14/02/2019,"$795,000",872m2,Combined Record,Single residential dwelling
Ainslie,2019,5/95A Wakefield Gardens *,3,24/07/2019,"$795,000",1208m2,Allhomes Record,–
Ainslie,2019,5/17 Edgar Street,–,24/07/2019,"$795,000",1208m2,Government Record,Multiple unit dwelling
Ainslie,2019,11 Winnecke Street,3,30/10/2019,"$790,000",603m2,Combined Record,Single residential dwelling
Ainslie,2019,13 Sherbrooke Street,5,14/06/2019,"$785,000",664m2,Combined Record,Single residential dwelling
Ainslie,2019,3 Dibbs Street,–,11/10/2019,"$775,000",711m2,Government Record,Single residential dwelling
Ainslie,2019,19 Piper Street,2,12/03/2019,"$771,000",556m2,Combined Record,Single residential dwelling...
Ainslie,2019,10 Gillen Street *,3,13/12/2019,"$770,000",0m2,Allhomes Record,–
Ainslie,2019,41 Officer Crescent,3,31/07/2019,"$750,000",620m2,Combined Record,Single residential dwelling
Ainslie,2019,11 Sherbrooke Street,3,27/09/2019,"$740,000",610m2,Combined Record,Single residential dwelling...
Ainslie,2019,2/54 Ebden Street,3,27/07/2019,"$735,000",908m2,Combined Record,Multiple unit dwelling
Ainslie,2019,167 Duffy Street,–,17/01/2019,"$725,000",786m2,Government Record,Single residential dwelling
Ainslie,2019,3/52 Sherbrooke Street *,2,16/11/2019,"$660,500",0m2,Allhomes Record,–
Ainslie,2019,1/6 Tyson Street *,2,08/04/2019,"$660,000",478m2,Allhomes Record,–
Ainslie,2019,50 Majura Avenue,3,17/09/2019,"$650,000",516m2,Combined Record,Single residential dwelling
Ainslie,2019,2/52 Sherbrooke Street,2,14/03/2019,"$635,000",2079m2,Combined Record,Multiple unit dwelling
Ainslie,2019,7/18 Angas Street,2,30/10/2019,"$587,000",2265m2,Combined Record,Self care units for aged pe...
Ainslie,2019,1/61 Ebden Street,–,16/08/2019,"$522,500",1017m2,Government Record,Multiple unit dwelling
Ainslie,2019,61A Ebden Street *,–,16/08/2019,"$522,500",462m2,Allhomes Record,–
Ainslie,2019,38 Campbell Street,–,01/03/2019,"$450,000",699m2,Government Record,Single residential dwelling
Ainslie,2019,9 McColl Street,–,13/02/2019,"$312,000",667m2,Government Record,Single residential dwelling
Ainslie,2019,11 McColl Street,–,11/01/2019,$1,637m2,Government Record,Single residential dwelling
Ainslie,2019,3 Dibbs Street *,3,01/11/2019,$1,711m2,Allhomes Record,–
Ainslie,2019,1/6A Tyson Street,–,08/04/2019,$0,854m2,Government Record,Multiple unit dwelling
