site,street,suburb,state,date,arrival,departure,contact,lng,lat,geometry,time
Australia Post Gungahlin,46 Hibberson Street,Gungahlin,ACT,2021-08-21,11:10:00,12:00:00,monitor,149.136881,-35.1860759,POINT (149.136881 -35.1860759),0.0
Bottlemart Express Braddon,94 Lowanna Street,Braddon,ACT,2021-08-21,12:30:00,14:00:00,casual,149.1328,-35.26402,POINT (149.1328 -35.26402),1.0
Caltex (EG Fuel) Canberra Airport,"Canberra Airport, 1/3 Rogan Street",Pialligo,ACT,2021-08-21,10:40:00,11:30:00,monitor,149.1879721,-35.3094947,POINT (149.1879721 -35.3094947),0.0
Capital Chemist Charnwood,"Charnwood Shopping Centre, Lhotsky Street",Charnwood,ACT,2021-08-21,12:20:00,13:10:00,monitor,149.033623,-35.2045044,POINT (149.033623 -35.2045044),0.0
Charcoal Rooster Braddon,94 Lowanna Street,Braddon,ACT,2021-08-21,12:30:00,14:00:00,casual,149.1328287,-35.2641258,POINT (149.1328287 -35.2641258),1.0
Coles Amaroo,Horse Park Drive,Amaroo,ACT,2021-08-21,11:05:00,11:45:00,monitor,149.1317816,-35.1646128,POINT (149.1317816 -35.1646128),0.0
Coles Amaroo,Horse Park Drive,Amaroo,ACT,2021-08-21,19:00:00,19:50:00,monitor,149.1317816,-35.1646128,POINT (149.1317816 -35.1646128),0.0
Coles Canberra Centre,"Canberra Centre, 148 Bunda Street",Canberra City,ACT,2021-08-21,15:00:00,16:10:00,monitor,149.1343475,-35.2784476,POINT (149.1343475 -35.2784476),1.0
Crust Pizza Charnwood,41 Charnwood Place,Charnwood,ACT,2021-08-21,12:40:00,13:30:00,monitor,149.0341708,-35.2054109,POINT (149.0341708 -35.2054109),0.0
Domino's Pizza Holt,8/118-126 Hardwick Crescent,Holt,ACT,2021-08-21,00:10:00,00:50:00,monitor,149.0184478,-35.2220687,POINT (149.0184478 -35.2220687),0.0
Erindale Pharmacy,2 Denigan Street,Wanniassa,ACT,2021-08-21,14:10:00,14:45:00,monitor,149.0986421,-35.4036955,POINT (149.0986421 -35.4036955),0.0
Liquorland Amaroo,Horse Park Drive,Amaroo,ACT,2021-08-21,11:05:00,11:45:00,monitor,149.1320463,-35.1647474,POINT (149.1320463 -35.1647474),0.0
Mawson Halal Market,79 Mawson Place,Mawson,ACT,2021-08-21,15:30:00,16:30:00,casual,149.0942951,-35.3653047,POINT (149.0942951 -35.3653047),1.0
Mister Minit Gungahlin,"Marketplace Gungahlin, 30 and 33 Hibberson Street",Gungahlin,ACT,2021-08-21,13:25:00,14:10:00,monitor,149.1347762,-35.1846599,POINT (149.1347762 -35.1846599),0.0
Raku Canberra Centre,"Shop DG36C, Canberra Centre, 148 Bunda Street",Canberra City,ACT,2021-08-21,18:10:00,19:00:00,monitor,149.1332559,-35.2802271,POINT (149.1332559 -35.2802271),0.0
Woolworths Cooleman Court,"Cooleman Court Shopping Centre, Brierly Street",Weston,ACT,2021-08-21,19:30:00,21:00:00,monitor,149.052681,-35.340765,POINT (149.052681 -35.340765),1.0
Woolworths Erindale,"Erindale Shopping Centre, 50-68 Comrie Street",Wanniassa,ACT,2021-08-21,14:10:00,15:00:00,monitor,149.098702,-35.4035739,POINT (149.098702 -35.4035739),0.0
Woolworths Metro Franklin,Corner Flemington Road and Nullarbor Avenue,Franklin,ACT,2021-08-21,13:50:00,14:45:00,monitor,149.1488768,-35.2000983,POINT (149.1488768 -35.2000983),0.0
ALDI Amaroo,12 Pioneer Street,Amaroo,ACT,2021-08-22,16:00:00,16:40:00,monitor,149.1319772,-35.1653371,POINT (149.1319772 -35.1653371),0.0
ALDI Casey,"Casey Market Town, 15 Kingsland Parade",Casey,ACT,2021-08-22,17:35:00,19:45:00,casual,149.0955181,-35.1745081,POINT (149.0955181 -35.1745081),2.0
ALDI Gungahlin,Hibberson Street,Gungahlin,ACT,2021-08-22,09:50:00,11:00:00,casual,149.1360072,-35.1854061,POINT (149.1360072 -35.1854061),1.0
Coles Amaroo,Horse Park Drive,Amaroo,ACT,2021-08-22,08:40:00,10:00:00,casual,149.1317816,-35.1646128,POINT (149.1317816 -35.1646128),1.0
Coles Chisholm,42 Halley Street,Chisholm,ACT,2021-08-22,12:20:00,13:10:00,monitor,149.1282419,-35.4141067,POINT (149.1282419 -35.4141067),0.0
Gelato Messina Braddon,4/21 Lonsdale Street,Braddon,ACT,2021-08-22,16:00:00,17:30:00,casual,149.1325994,-35.272777,POINT (149.1325994 -35.272777),1.0
Haig Park,Haig Park,Braddon & Turner,ACT,2021-08-22,16:15:00,17:30:00,monitor,149.1267797,-35.2691536,POINT (149.1267797 -35.2691536),1.0
IGA Denman Prospect,20/3 Felstead Vista,Denman Prospect,ACT,2021-08-22,12:40:00,14:00:00,monitor,149.0231503,-35.2992521,POINT (149.0231503 -35.2992521),1.0
Le Bon Melange Cafe,G09/48 Gungahlin Place and Bruning Street,Gungahlin,ACT,2021-08-22,09:35:00,10:30:00,casual,149.135264,-35.1826213,POINT (149.135264 -35.1826213),0.0
Mirchi Indian Cuisine,4 Riley Close,Ngunnawal,ACT,2021-08-22,14:00:00,22:00:00,close,149.120107,-35.1744,POINT (149.120107 -35.1744),8.0
Oporto Weston,Kirkpatrick Street,Weston,ACT,2021-08-22,15:00:00,15:45:00,monitor,149.0568308,-35.3222184,POINT (149.0568308 -35.3222184),0.0
SUPABARN Casey,"Casey Market Town, 15 Kingsland Parade",Casey,ACT,2021-08-22,17:10:00,18:15:00,casual,149.0960254,-35.1741413,POINT (149.0960254 -35.1741413),1.0
Woolworths Gungahlin,"Gungahlin Marketplace, 30 and 33 Hibberson Street",Gungahlin,ACT,2021-08-22,10:20:00,11:30:00,casual,149.1339641,-35.1846274,POINT (149.1339641 -35.1846274),1.0
7-Eleven Casey,10 Kingsland Parade,Casey,ACT,2021-08-23,17:00:00,18:00:00,monitor,149.0957326,-35.175773,POINT (149.0957326 -35.175773),1.0
ALDI Canberra Centre,"Canberra Centre, 148 Bunda Street",Canberra City,ACT,2021-08-23,11:45:00,12:30:00,casual,149.1332387,-35.2802938,POINT (149.1332387 -35.2802938),0.0
ALDI Casey,"Casey Market Town, 15 Kingsland Parade",Casey,ACT,2021-08-23,17:10:00,18:00:00,monitor,149.0955181,-35.1745081,POINT (149.0955181 -35.1745081),0.0
Belconnen Discount Pharmacy (Priceline),1-5 Chandler Street,Belconnen,ACT,2021-08-23,13:10:00,14:20:00,casual,149.0681461,-35.2374413,POINT (149.0681461 -35.2374413),1.0
Coles Chisholm,42 Halley Street,Chisholm,ACT,2021-08-23,03:50:00,18:00:00,casual,149.1282419,-35.4141067,POINT (149.1282419 -35.4141067),14.0
Coles Tuggeranong,"South Point Tuggeranong, Anketell Street and Reed Street",Greenway,ACT,2021-08-23,10:10:00,11:10:00,casual,149.0665317,-35.4167822,POINT (149.0665317 -35.4167822),1.0
Gerald Slaven Ford Phillip,29 Botany Street,Phillip,ACT,2021-08-23,08:30:00,09:30:00,casual,149.087943,-35.3503316,POINT (149.087943 -35.3503316),1.0
IGA X-press Swinger Hill,84 Ainsworth Street,Mawson,ACT,2021-08-23,12:50:00,13:30:00,monitor,149.0981878,-35.3552675,POINT (149.0981878 -35.3552675),0.0
KFC Dickson,81 Woolley Street,Dickson,ACT,2021-08-23,10:45:00,16:30:00,casual,149.1375976,-35.2495219,POINT (149.1375976 -35.2495219),5.0
Liquorland Tuggeranong,Corner Northern Street and Western Street,Greenway,ACT,2021-08-23,10:30:00,11:15:00,monitor,149.0675083,-35.4170687,POINT (149.0675083 -35.4170687),0.0
Mirchi Indian Cuisine,4 Riley Close,Ngunnawal,ACT,2021-08-23,16:00:00,22:30:00,close,149.120107,-35.1744,POINT (149.120107 -35.1744),6.0
Priceline Pharmacy Casey,"Casey Market Town, 15 Kingsland Parade",Casey,ACT,2021-08-23,17:20:00,17:50:00,monitor,149.0958256,-35.1741815,POINT (149.0958256 -35.1741815),0.0
Priceline Pharmacy Tuggeranong,"South.Point Tuggeranong, Anketell Street and Reed Street",Greenway,ACT,2021-08-23,10:00:00,10:45:00,monitor,149.066668,-35.4159229,POINT (149.066668 -35.4159229),0.0
Samiuz,3/57 Benjamin Way,Belconnen,ACT,2021-08-23,18:20:00,19:30:00,monitor,149.0678155,-35.2424406,POINT (149.0678155 -35.2424406),1.0
Service Australia (Calypso Cafe),57 Athllon Drive,Greenway,ACT,2021-08-23,12:00:00,14:00:00,casual,149.0644828,-35.421326,POINT (149.0644828 -35.421326),2.0
"Services Australia (Entire building, refer to Casuals entry if attended Level 4)",57 Athllon Drive,Greenway,ACT,2021-08-23,08:00:00,17:00:00,monitor,149.0654739,-35.421141,POINT (149.0654739 -35.421141),9.0
Services Australia (Level 4),57 Athllon Drive,Greenway,ACT,2021-08-23,08:00:00,17:00:00,casual,149.0654739,-35.421141,POINT (149.0654739 -35.421141),9.0
SUPABARN Casey,"Casey Market Town, 15 Kingsland Parade",Casey,ACT,2021-08-23,17:20:00,18:15:00,casual,149.0960254,-35.1741413,POINT (149.0960254 -35.1741413),0.0
Universal Phone Services Canberra Centre,"Shop AG14, Canberra Centre, 148 Bunda Street",Canberra City,ACT,2021-08-23,10:35:00,11:30:00,casual,149.1339036,-35.2789692,POINT (149.1339036 -35.2789692),0.0
Woolworths Kippax,"Kippax Fair Shopping Centre, 26 Hardwick Crescent",Holt,ACT,2021-08-23,11:55:00,12:50:00,casual,149.0201727,-35.2228703,POINT (149.0201727 -35.2228703),0.0
Woolworths Kippax,"Kippax Fair Shopping Centre, 26 Hardwick Crescent",Holt,ACT,2021-08-23,14:40:00,15:35:00,monitor,149.0201727,-35.2228703,POINT (149.0201727 -35.2228703),0.0
ALDI Amaroo,12 Pioneer Street,Amaroo,ACT,2021-08-24,16:15:00,17:00:00,monitor,149.1319772,-35.1653371,POINT (149.1319772 -35.1653371),0.0
ALDI Amaroo,12 Pioneer Street,Amaroo,ACT,2021-08-24,17:40:00,18:30:00,monitor,149.1319772,-35.1653371,POINT (149.1319772 -35.1653371),0.0
ALDI Canberra Centre,"Canberra Centre, 148 Bunda Street",Canberra City,ACT,2021-08-24,10:20:00,11:15:00,casual,149.1332387,-35.2802938,POINT (149.1332387 -35.2802938),0.0
ALDI Casey,"Casey Market Town, 15 Kingsland Parade",Casey,ACT,2021-08-24,15:50:00,16:40:00,monitor,149.0955181,-35.1745081,POINT (149.0955181 -35.1745081),0.0
Bunnings Gungahlin,10 Gribble Street,Gungahlin,ACT,2021-08-24,11:30:00,12:45:00,casual,149.1303139,-35.1838713,POINT (149.1303139 -35.1838713),1.0
Chemist Warehouse Gungahlin,"Marketplace Gungahlin, 30 and 33 Hibberson Street",Gungahlin,ACT,2021-08-24,14:10:00,15:00:00,monitor,149.1328487,-35.1856574,POINT (149.1328487 -35.1856574),0.0
Chemist Warehouse Woden,24 Corinna Street,Phillip,ACT,2021-08-24,14:30:00,16:00:00,monitor,149.0838052,-35.345342,POINT (149.0838052 -35.345342),1.0
Coles Chisholm,42 Halley Street,Chisholm,ACT,2021-08-24,05:20:00,18:00:00,casual,149.1282419,-35.4141067,POINT (149.1282419 -35.4141067),12.0
Coles Gungahlin,"Gungahlin Village, 46 Hibberson Street",Gungahlin,ACT,2021-08-24,14:40:00,15:30:00,monitor,149.136017,-35.1862806,POINT (149.136017 -35.1862806),0.0
Evatt Newsagency,3 Heydon Place,Evatt,ACT,2021-08-24,09:20:00,10:00:00,monitor,149.0734589,-35.2090866,POINT (149.0734589 -35.2090866),0.0
IGA Holt,Holt Place,Holt,ACT,2021-08-24,13:40:00,15:30:00,casual,149.0116446,-35.224764,POINT (149.0116446 -35.224764),1.0
KFC Dickson,81 Woolley Street,Dickson,ACT,2021-08-24,09:40:00,16:30:00,casual,149.1375976,-35.2495219,POINT (149.1375976 -35.2495219),6.0
Master Kebabs,50 Denigan Street,Wanniassa,ACT,2021-08-24,17:40:00,18:50:00,casual,149.0967767,-35.40389750000001,POINT (149.0967767 -35.40389750000001),1.0
Mirchi Indian Cuisine,4 Riley Close,Ngunnawal,ACT,2021-08-24,16:00:00,22:30:00,close,149.120107,-35.1744,POINT (149.120107 -35.1744),6.0
Priceline Pharmacy Casey,"Casey Market Town, 15 Kingsland Parade",Casey,ACT,2021-08-24,15:40:00,16:30:00,monitor,149.0958256,-35.1741815,POINT (149.0958256 -35.1741815),0.0
"Services Australia (Entire building, refer to Casuals entry if attended Level 4)",57 Athllon Drive,Greenway,ACT,2021-08-24,08:00:00,14:00:00,monitor,149.0654739,-35.421141,POINT (149.0654739 -35.421141),6.0
Services Australia (Level 4),57 Athllon Drive,Greenway,ACT,2021-08-24,08:00:00,14:00:00,casual,149.0654739,-35.421141,POINT (149.0654739 -35.421141),6.0
The Flow Bottle Shop Mawson,"Southlands Shopping Centre, Heard Street",Mawson,ACT,2021-08-24,12:00:00,12:40:00,monitor,149.0947954,-35.3650088,POINT (149.0947954 -35.3650088),0.0
The Public Place,"Chisholm Village Shopping Centre, 42 Halley Street",Chisholm,ACT,2021-08-24,10:00:00,10:40:00,monitor,149.1284203,-35.4140211,POINT (149.1284203 -35.4140211),0.0
Woolworths Gungahlin,"Gungahlin Marketplace, 30 and 33 Hibberson Street",Gungahlin,ACT,2021-08-24,14:20:00,15:20:00,casual,149.1339641,-35.1846274,POINT (149.1339641 -35.1846274),1.0
Woolworths Kippax,"Kippax Fair Shopping Centre, 26 Hardwick Crescent",Holt,ACT,2021-08-24,16:20:00,17:15:00,casual,149.0201727,-35.2228703,POINT (149.0201727 -35.2228703),0.0
Woolworths Kippax,"Kippax Fair Shopping Centre, 26 Hardwick Crescent",Holt,ACT,2021-08-24,18:20:00,19:10:00,monitor,149.0201727,-35.2228703,POINT (149.0201727 -35.2228703),0.0
ALDI Chisholm,36 Benham Street,Chisholm,ACT,2021-08-25,11:45:00,13:15:00,casual,149.1293881,-35.414889,POINT (149.1293881 -35.414889),1.0
Argyle Housing - Ainslie Village,23 Quick Street,Campbell,ACT,2021-08-25,00:00:00,23:59:00,close,149.1490264,-35.2749161,POINT (149.1490264 -35.2749161),23.0
Argyle Housing - Ainslie Village (Winter Lodge),23 Quick Street,Campbell,ACT,2021-08-25,00:00:00,23:59:00,close,149.1490264,-35.2749161,POINT (149.1490264 -35.2749161),23.0
Australia Post Gungahlin,46 Hibberson Street,Gungahlin,ACT,2021-08-25,15:00:00,15:45:00,monitor,149.136881,-35.1860759,POINT (149.136881 -35.1860759),0.0
Best Friends Pets Fyshwick,1 Barrier Street,Fyshwick,ACT,2021-08-25,17:15:00,18:00:00,monitor,149.1769325,-35.3319261,POINT (149.1769325 -35.3319261),0.0
Bidfood Canberra,16 Mildura Street,Fyshwick,ACT,2021-08-25,05:30:00,12:30:00,casual,149.1527602,-35.3226824,POINT (149.1527602 -35.3226824),7.0
Calwell Shopping Centre,7 Webber Crescent,Calwell,ACT,2021-08-25,09:25:00,10:05:00,monitor,149.114126,-35.434588,POINT (149.114126 -35.434588),0.0
Cellarbrations Gungahlin,24-30 Ernest Cavanagh Street,Gungahlin,ACT,2021-08-25,16:00:00,20:03:00,monitor,149.1312075,-35.1840542,POINT (149.1312075 -35.1840542),4.0
Cellarbrations Gungahlin,24-30 Ernest Cavanagh Street,Gungahlin,ACT,2021-08-25,20:30:00,21:20:00,monitor,149.1312075,-35.1840542,POINT (149.1312075 -35.1840542),0.0
Clay.,2 David Street,Turner,ACT,2021-08-25,10:20:00,11:30:00,monitor,149.1310991,-35.2607149,POINT (149.1310991 -35.2607149),1.0
Coles Chisholm,42 Halley Street,Chisholm,ACT,2021-08-25,05:20:00,17:30:00,casual,149.1282419,-35.4141067,POINT (149.1282419 -35.4141067),12.0
Coles Chisholm,42 Halley Street,Chisholm,ACT,2021-08-25,12:30:00,13:45:00,casual,149.1282419,-35.4141067,POINT (149.1282419 -35.4141067),1.0
Coles Jamison,"Jamison Plaza, Bowman Street",Macquarie,ACT,2021-08-25,10:55:00,11:35:00,monitor,149.0713348,-35.2528076,POINT (149.0713348 -35.2528076),0.0
Costco Majura Park,39-41 Mustang Avenue,Canberra Airport,ACT,2021-08-25,16:00:00,17:40:00,casual,149.1905839,-35.2972375,POINT (149.1905839 -35.2972375),1.0
Costco Majura Park,39-41 Mustang Avenue,Canberra Airport,ACT,2021-08-25,16:15:00,17:15:00,casual,149.1905839,-35.2972375,POINT (149.1905839 -35.2972375),1.0
Grill'd Belconnen,"Westfeild Belconnen, Benjamin Way",Belconnen,ACT,2021-08-25,19:40:00,20:10:00,monitor,149.0634587,-35.2380489,POINT (149.0634587 -35.2380489),0.0
IGA Lyneham,1 Wattle Place,Lyneham,ACT,2021-08-25,15:00:00,19:00:00,monitor,149.1248594,-35.2520717,POINT (149.1248594 -35.2520717),4.0
Jamison Plaza News,"Jamison Plaza, Bowman Street",Macquarie,ACT,2021-08-25,11:00:00,11:40:00,monitor,149.0717536,-35.2528357,POINT (149.0717536 -35.2528357),0.0
Optus Canberra Centre,"Shop AG12B, Canberra Centre, 148 Bunda Street",Canberra City,ACT,2021-08-25,14:40:00,15:30:00,casual,149.1332559,-35.2802271,POINT (149.1332559 -35.2802271),0.0
Petbarn Majura Park,15 Mustang Avenue,Canberra Airport,ACT,2021-08-25,17:00:00,17:50:00,monitor,149.1906592,-35.2949224,POINT (149.1906592 -35.2949224),0.0
Priceline Pharmacy Tuggeranong,"South.Point Tuggeranong, Anketell Street and Reed Street",Greenway,ACT,2021-08-25,15:00:00,16:00:00,monitor,149.066668,-35.4159229,POINT (149.066668 -35.4159229),1.0
Priceline Pharmacy Tuggeranong,"South.Point Tuggeranong, Anketell Street and Reed Street",Greenway,ACT,2021-08-25,15:20:00,16:10:00,monitor,149.066668,-35.4159229,POINT (149.066668 -35.4159229),0.0
The Chifley Grocer,20-22 Chifley Place,Chifley,ACT,2021-08-25,11:40:00,12:30:00,monitor,149.076082,-35.3525033,POINT (149.076082 -35.3525033),0.0
Tikka Take,Shop 6/21 Genge Street,Canberra City,ACT,2021-08-25,19:30:00,20:30:00,monitor,149.1321222,-35.2763451,POINT (149.1321222 -35.2763451),1.0
Total Tools Fyshwick,103 Gladstone Street,Fyshwick,ACT,2021-08-25,10:15:00,11:10:00,monitor,149.1807051,-35.3221611,POINT (149.1807051 -35.3221611),0.0
Universal Phone Services Canberra Centre,"Shop AG14, Canberra Centre, 148 Bunda Street",Canberra City,ACT,2021-08-25,14:50:00,15:45:00,monitor,149.1339036,-35.2789692,POINT (149.1339036 -35.2789692),0.0
Wokitup! Kippax,118 Hardwick Crescent,Holt,ACT,2021-08-25,18:50:00,19:30:00,monitor,149.0184444,-35.2221293,POINT (149.0184444 -35.2221293),0.0
Woolworths Conder,"Lanyon Marketplace, 4 Sidney Nolan Street",Conder,ACT,2021-08-25,17:00:00,18:30:00,casual,149.092436,-35.457644,POINT (149.092436 -35.457644),1.0
ALDI Canberra Centre,"Canberra Centre, 148 Bunda Street",Canberra City,ACT,2021-08-26,09:00:00,10:00:00,casual,149.1332387,-35.2802938,POINT (149.1332387 -35.2802938),1.0
Argyle Housing - Ainslie Village,23 Quick Street,Campbell,ACT,2021-08-26,00:00:00,23:59:00,close,149.1490264,-35.2749161,POINT (149.1490264 -35.2749161),23.0
Argyle Housing - Ainslie Village (Winter Lodge),23 Quick Street,Campbell,ACT,2021-08-26,00:00:00,12:00:00,close,149.1490264,-35.2749161,POINT (149.1490264 -35.2749161),12.0
Bidfood Canberra,16 Mildura Street,Fyshwick,ACT,2021-08-26,05:30:00,12:30:00,casual,149.1527602,-35.3226824,POINT (149.1527602 -35.3226824),7.0
BWS Mawson,Mawson Place,Mawson,ACT,2021-08-26,18:35:00,19:30:00,monitor,149.0944118,-35.3661405,POINT (149.0944118 -35.3661405),0.0
BWS Weston Creek,Corner Brierly Steret and Mahoney Crescent,Weston,ACT,2021-08-26,19:00:00,19:30:00,monitor,149.0524619,-35.3412371,POINT (149.0524619 -35.3412371),0.0
Caltex (EG Fuel) Conder,Tharwa Drive,Conder,ACT,2021-08-26,16:15:00,17:00:00,monitor,149.0917041,-35.4582538,POINT (149.0917041 -35.4582538),0.0
Cellarbrations Belconnen,Luxton Street and Josephson Street,Belconnen,ACT,2021-08-26,22:40:00,23:00:00,monitor,149.0594985,-35.23631890000001,POINT (149.0594985 -35.23631890000001),0.0
Cellarbrations Gungahlin,24-30 Ernest Cavanagh Street,Gungahlin,ACT,2021-08-26,20:00:00,20:45:00,monitor,149.1312075,-35.1840542,POINT (149.1312075 -35.1840542),0.0
Coffee Guru Lanyon,"Lanyon Marketplace, 4 Sidney Nolan Street",Conder,ACT,2021-08-26,15:10:00,15:50:00,monitor,149.0924379,-35.4572114,POINT (149.0924379 -35.4572114),0.0
Coles Canberra Centre,"Canberra Centre, 148 Bunda Street",Canberra City,ACT,2021-08-26,11:50:00,12:30:00,casual,149.1343475,-35.2784476,POINT (149.1343475 -35.2784476),0.0
Domino's Pizza Mawson,9/93 Mawson Place,Mawson,ACT,2021-08-26,13:30:00,14:00:00,casual,149.094,-35.3649944,POINT (149.094 -35.3649944),0.0
Espresso Room Westfield Woden,"Westfield Woden, Keltie Street",Phillip,ACT,2021-08-26,14:00:00,14:45:00,monitor,149.0865575,-35.3461117,POINT (149.0865575 -35.3461117),0.0
Garema Place Surgery,"Level 1, Florina Building, Garema Place",Canberra City,ACT,2021-08-26,11:00:00,12:20:00,casual,149.1320639,-35.27856939999999,POINT (149.1320639 -35.27856939999999),1.0
Goodberry's Erindale,2/20 Gartside Street,Wanniassa,ACT,2021-08-26,14:20:00,15:00:00,monitor,149.0994798,-35.4058291,POINT (149.0994798 -35.4058291),0.0
GP Respiratory Clinic,5 Baratta Street,Crace,ACT,2021-08-26,13:50:00,14:50:00,casual,149.1024268,-35.1993963,POINT (149.1024268 -35.1993963),1.0
IGA X-press Palmerston,2/16A Kosciuszko Avenue,Palmerston,ACT,2021-08-26,16:10:00,17:00:00,monitor,149.1183036,-35.1973821,POINT (149.1183036 -35.1973821),0.0
JAGA Swanson Court,"Level 1, 11-17 Swanson Court",Belconnen,ACT,2021-08-26,16:00:00,18:00:00,casual,149.0689282,-35.2390642,POINT (149.0689282 -35.2390642),2.0
Kingsley's Chicken Conder,"Lanyon Marketplace, 4 Sidney Nolan Street",Conder,ACT,2021-08-26,15:40:00,16:30:00,monitor,149.0925689,-35.457282,POINT (149.0925689 -35.457282),0.0
Kingsley's Chicken Westfield Woden,"Westfield Woden, Keltie Street",Phillip,ACT,2021-08-26,14:00:00,14:40:00,monitor,149.0850116,-35.3461343,POINT (149.0850116 -35.3461343),0.0
Lanyon Newsagency & Gift Shop,"Lanyon Marketplace, 4 Sidney Nolan Street",Conder,ACT,2021-08-26,15:40:00,16:30:00,monitor,149.0925166,-35.4576067,POINT (149.0925166 -35.4576067),0.0
Lanyon Newsagency & Gift Shop,"Lanyon Marketplace, 4 Sidney Nolan Street",Conder,ACT,2021-08-26,17:00:00,18:00:00,monitor,149.0925166,-35.4576067,POINT (149.0925166 -35.4576067),1.0
Officeworks Braddon,30 Mort Street,Braddon,ACT,2021-08-26,14:50:00,16:00:00,casual,149.1314656,-35.2742758,POINT (149.1314656 -35.2742758),1.0
On-Lake Cafe,"Bowen Park, Bowen Drive",Barton,ACT,2021-08-26,12:55:00,13:45:00,casual,149.1408635,-35.3092366,POINT (149.1408635 -35.3092366),0.0
Priceline Pharmacy Woden,"Westfield Woden, Keltie Street",Phillip,ACT,2021-08-26,09:15:00,18:00:00,close,149.0846236,-35.3461736,POINT (149.0846236 -35.3461736),8.0
Saint Clare of Assisi Outside School Hours Care (OSHC),Box Hill Avenue and Heidelberg Street,Conder,ACT,2021-08-26,08:00:00,08:30:00,casual,149.0966839,-35.458748,POINT (149.0966839 -35.458748),0.0
Saint Clare of Assisi Outside School Hours Care (OSHC),Box Hill Avenue and Heidelberg Street,Conder,ACT,2021-08-26,16:00:00,16:30:00,casual,149.0966839,-35.458748,POINT (149.0966839 -35.458748),0.0
Saint Clare of Assisi Primary School,Box Hill Avenue and Heidelberg Street,Conder,ACT,2021-08-26,08:00:00,15:30:00,close,149.0966839,-35.458748,POINT (149.0966839 -35.458748),7.0
San Churro Woden,"Westfield Woden, Keltie Street",Phillip,ACT,2021-08-26,19:00:00,20:00:00,monitor,149.0874013,-35.34625500000001,POINT (149.0874013 -35.34625500000001),1.0
SUPAEXPRESS Watson,5 Watson Place,Watson,ACT,2021-08-26,09:30:00,10:30:00,casual,149.1535201,-35.2388939,POINT (149.1535201 -35.2388939),1.0
Sushi Island Lanyon,14/3 Sidney Nolan St,Conder,ACT,2021-08-26,15:50:00,16:30:00,monitor,149.0924549,-35.457306,POINT (149.0924549 -35.457306),0.0
The Bottle O-Mitchell,Brookes Street,Mitchell,ACT,2021-08-26,14:50:00,15:30:00,monitor,149.1406402,-35.2177696,POINT (149.1406402 -35.2177696),0.0
The Meadows Original Frozen Custard,127/3 Clare Burton Crescent,Franklin,ACT,2021-08-26,16:50:00,17:30:00,monitor,149.1486234,-35.19962450000001,POINT (149.1486234 -35.19962450000001),0.0
The Pharmacy on Petrie,148 Bunda Street,Canberra City,ACT,2021-08-26,10:50:00,11:30:00,monitor,149.1335326,-35.2788096,POINT (149.1335326 -35.2788096),0.0
Westfield Woden,"Westfield Woden, Keltie Street",Phillip,ACT,2021-08-26,07:45:00,17:00:00,monitor,149.0860576,-35.3463199,POINT (149.0860576 -35.3463199),9.0
Westpac Canberra Centre,148 Bunda Street,Canberra City,ACT,2021-08-26,10:30:00,11:20:00,monitor,149.1328989,-35.2793606,POINT (149.1328989 -35.2793606),0.0
Woolworths Conder,"Lanyon Marketplace, 4 Sidney Nolan Street",Conder,ACT,2021-08-26,15:15:00,16:10:00,casual,149.092436,-35.457644,POINT (149.092436 -35.457644),0.0
Woolworths Cooleman Court,"Cooleman Court Shopping Centre, Brierly Street",Weston,ACT,2021-08-26,18:45:00,19:30:00,monitor,149.052681,-35.340765,POINT (149.052681 -35.340765),0.0
Woolworths Metro Hawker,Springvale Drive,Hawker,ACT,2021-08-26,19:10:00,20:00:00,casual,149.0441492,-35.2433647,POINT (149.0441492 -35.2433647),0.0
Woolworths Woden,"Westfield Woden, Keltie Street",Phillip,ACT,2021-08-26,07:45:00,08:30:00,casual,149.084734,-35.345964,POINT (149.084734 -35.345964),0.0
Woolworths Woden,"Westfield Woden, Keltie Street",Phillip,ACT,2021-08-26,13:20:00,14:10:00,casual,149.084734,-35.345964,POINT (149.084734 -35.345964),0.0
Argyle Housing - Ainslie Village,23 Quick Street,Campbell,ACT,2021-08-27,00:00:00,23:59:00,close,149.1490264,-35.2749161,POINT (149.1490264 -35.2749161),23.0
Australia Post Braddon,2c/32 Mort Street,Braddon,ACT,2021-08-27,08:40:00,09:30:00,monitor,149.1317585,-35.2740906,POINT (149.1317585 -35.2740906),0.0
Australia Post Fyshwick,22 Townsville Street,Fyshwick,ACT,2021-08-27,11:05:00,11:50:00,monitor,149.183094,-35.3282773,POINT (149.183094 -35.3282773),0.0
Bidfood Canberra,16 Mildura Street,Fyshwick,ACT,2021-08-27,05:30:00,12:30:00,casual,149.1527602,-35.3226824,POINT (149.1527602 -35.3226824),7.0
BP Phillip,166 Melrose Drive,Phillip,ACT,2021-08-27,11:20:00,12:05:00,monitor,149.0853,-35.3509,POINT (149.0853 -35.3509),0.0
Caltex (EG Fuel) Canberra Gateway,41 Federal Highway,Lyneham,ACT,2021-08-27,09:45:00,10:30:00,monitor,149.1508365,-35.2300948,POINT (149.1508365 -35.2300948),0.0
Canberra Halal Market,"Shop 1a, 116 Hardwick Crescent",Holt,ACT,2021-08-27,12:00:00,12:50:00,casual,149.0183338,-35.2219216,POINT (149.0183338 -35.2219216),0.0
